OBJECTID;Baum ID;Standort Nr;Kennzeich;Objektname;Kategorie;Art;Art Botanisch;Gattung;Gattung Botanisch;Pflanzjahr;Standalter;Krone Durch-schnitt (m);Stammumfang (cm);Höhe (m);Bezirk;Kategorie;Straße;Haus Nr;x;y
297616;00008100:0022b271;999;70578;Ernst-Thälmann-Park;rot;Seiden-Kiefer, Strobe, Weymouths-Kiefer;Pinus strobus;KIEFER;PINUS;;;6;94;3;Pankow;Anlagebaum;;;1495315.7918;6897966.9062
175720;00008100:001975f8;999;70138;Schmöckpfuhlgrabengrünzug;blau;Silber-Weide;Salix alba;WEIDE;SALIX;1998;25;5;49;17;Pankow;Anlagebaum;;;1497155.2303;6903988.2895
152220;00008100:0018aa35;999;169;Schlosspark Schönhausen;rot;Spitz-Ahorn;Acer platanoides;AHORN;ACER;1960;63;10;157;22;Pankow;Anlagebaum;;;1493285.7362;6905475.9727
385872;00008100:002d3302;999;245;Schönholzer Heide (ost);grün;Spitz-Ahorn;Acer platanoides;AHORN;ACER;1981;42;5;56;22;Pankow;Anlagebaum;;;1488235.5448;6906264.2742
572115;00008100:001247a8;999;01885-Str;Heerstraße;blau;Ahornblättrige Platane;Platanus acerifolia;PLATANE;PLATANUS;1963;60;;116;17;Spandau;Straßenbaum;Heerstraße;;1464462.9786;6894967.9413
400195;00008100:002e1e06;999;30461;Wilhelm-von-Siemens-Park, extensiv;grün;Hainbuche;Carpinus betulus;HAINBUCHE;CARPINUS;;;;145;20;Spandau;Anlagebaum;;;1477490.1742;6899141.8665
321670;00008100:00263f79;999;8;Gutspark Neukladow-GA ;grün;Robinie;Robinia pseudoacacia;ROBINIE;ROBINIA;1958;65;12;151;22;Spandau;Anlagebaum;;;1464754.5259;6883642.3182
367892;00008100:002a9753;999;30996;Nördlicher Rieselfeldabfanggraben;blau;Robinie;Robinia pseudoacacia;ROBINIE;ROBINIA;1970;53;10;138;20;Spandau;Anlagebaum;;;1464767.488;6893992.3813
47098;00008100:000f0556;999;100945;Finkenpark WG;grün;Eiche;Quercus spec.;EICHE;QUERCUS;;;;58;;Steglitz-Zehlendorf;Anlagebaum;;;1478867.5021;6884796.4154
261459;00008100:0020ceb0;999;133;Volkspark Mariendorf - Gartendenkmal (Übl.);grün;Douglasfichte, Douglasie;Pseudotsuga menziesii;DOUGLASIE;PSEUDOTSUGA;;;;92;23;Tempelhof-Schöneberg;Anlagebaum;;;1491130.1784;6880382.5779
411214;00008100:002f73af;999;18501;Volkspark Lichtenrade;grün;Gemeine Kiefer, Wald-Kiefer;Pinus sylvestris;KIEFER;PINUS;2007;16;4;85;15;Tempelhof-Schöneberg;Anlagebaum;;;1493481.3286;6871552.535
91609;00008100:0013fe09;999;17267;Der Insulaner - Grünanlage;rot;Spitz-Ahorn;Acer platanoides;AHORN;ACER;1973;50;;160;18;Tempelhof-Schöneberg;Anlagebaum;;;1486685.526;6883154.8116

999;00008100:000bfe4d;2337;00474;Friedhof Heerstraße;blau;"Gemeine Kiefer, Wald-Kiefer";Pinus sylvestris;KIEFER;PINUS;;;10;142;25;Charlottenburg-Wilmersdorf;Anlagebaum;;;1475386.3491;6893478.7741
